jre-openjdk-headless 20.0.1.u9-3
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jxrlib 0.2.4-2
kaccounts-integration 23.04.2-1
kactivities 5.107.0-1
kactivities-stats 5.107.0-1
kactivitymanagerd 5.27.6-1
kanshi 1.4.0-1
karchive 5.107.0-1
kate 23.04.2-1
kauth 5.107.0-1
kbd 2.6.1-1
kbookmarks 5.107.0-1
kcmutils 5.107.0-1
kcodecs 5.107.0-1
kcolorpicker 0.2.0-1
kcompletion 5.107.0-1
kconfig 5.107.0-1
kconfigwidgets 5.107.0-1
kcontacts 1:5.107.0-1
kcoreaddons 5.107.0-1
kcrash 5.107.0-1
kdbusaddons 5.107.0-1
kde-cli-tools 5.27.6-1
kde-gtk-config 5.27.6-1
kde-servicemenus-rootactions 2.9.1-2.3
kdeclarative 5.107.0-1
kdeconnect 23.04.2-1
kdecoration 5.27.6-1
kded 5.107.0-1
kdegraphics-mobipocket 23.04.2-1
kdegraphics-thumbnailers 23.04.2-1
kdelibs4support 5.107.0-1
kdenlive 23.04.2-1
kdeplasma-addons 5.27.6-2
kdesu 5.107.0-1
kdialog 23.04.2-1
kdnssd 5.107.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.107.0-1
kernel-modules-hook 0.1.7-2
keyutils 1.6.3-2
kfilemetadata 5.107.0-1
kglobalaccel 5.107.0-1
kguiaddons 5.107.0-1
kholidays 1:5.107.0-1
khotkeys 5.27.6-1
ki18n 5.107.0-1
kiconthemes 5.107.0-1
kidletime 5.107.0-1
kimageannotator 0.6.1-1
kimageformats 5.107.0-1
kinfocenter 5.27.6-1
kinit 5.107.0-1
kio 5.107.0-2
kio-extras 23.04.2-1
kio-fuse 5.0.1-1
kirigami-addons 0.9.0-1
kirigami2 5.107.0-1
kitemmodels 5.107.0-1
kitemviews 5.107.0-1
kitty 0.28.1-2
kitty-shell-integration 0.28.1-2
kitty-terminfo 0.28.1-2
kjobwidgets 5.107.0-1
kjs 5.107.0-1
kmenuedit 5.27.6-1
kmod 30-3
knewstuff 5.107.0-1
knotifications 5.107.0-1
knotifyconfig 5.107.0-1
konsole 23.04.2-2
kpackage 5.107.0-1
kparts 5.107.0-1
kpeople 5.107.0-1
kpeoplevcard 0.1-1
kpipewire 5.27.6-1
kpmcore 23.04.2-1
kpty 5.107.0-1
kquickcharts 5.107.0-1
krb5 1.20.1-1
krunner 5.107.0-1
kscreen 5.27.6-1
kscreenlocker 5.27.6-1
kservice 5.107.0-1
ksshaskpass 5.27.6-1
ksysguard 5.22.0-1
ksystemstats 5.27.6-1
ktexteditor 5.107.0-1
ktextwidgets 5.107.0-1
kunitconversion 5.107.0-1
kuserfeedback 1.2.0-1
kvantum 1.0.10-1
kwallet 5.107.0-1
kwallet-pam 5.27.6-1
kwayland 5.107.0-1
kwayland-integration 5.27.6-1
kwidgetsaddons 5.107.0-1
kwin 5.27.6-1
kwin-scripts-forceblur 0.6.1-1.3
kwindowsystem 5.107.0-1
kxmlgui 5.107.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-2
layer-shell-qt 5.27.6-1
lazydocker 0.20.0-1
lazygit 0.38.2-1
lcms2 2.15-1
ldb 2:2.7.2-2
ldns 1.8.3-2
lensfun 1:0.3.3-2
less 1:633-1
lhasa 0.3.1-3
lib32-acl 2.3.1-2
lib32-alsa-lib 1.2.9-1
lib32-alsa-plugins 1.2.7.1-2
lib32-at-spi2-core 2.48.3-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-12
lib32-bzip2 1.0.8-3
lib32-cairo 1.17.8-2
lib32-curl 8.1.2-1
lib32-dbus 1.14.8-1
lib32-dbus-glib 0.112-2
lib32-duktape 2.7.0-6
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-flac 1.4.3-1
lib32-fontconfig 2:2.14.2-1
lib32-freeglut 3.4.0-1
lib32-freetype2 2.13.1-1
lib32-fribidi 1.0.13-2
lib32-gcc-libs 13.1.1-1
lib32-gdk-pixbuf2 2.42.10-2
lib32-gettext 0.21.1-1
lib32-giflib 5.2.1-1
